team1,team2,toss_winner,toss_decision,winner,venue
Pune Warriors,Rajasthan Royals,Pune Warriors,bat,Rajasthan Royals,Sawai Mansingh Stadium
Sunrisers Hyderabad,Royal Challengers Bangalore,Sunrisers Hyderabad,bat,Royal Challengers Bangalore,M Chinnaswamy Stadium
Delhi Daredevils,Rajasthan Royals,Delhi Daredevils,bat,Rajasthan Royals,Sawai Mansingh Stadium
Mumbai Indians,Kolkata Knight Riders,Mumbai Indians,bat,Mumbai Indians,Wankhede Stadium
Chennai Super Kings,Sunrisers Hyderabad,Sunrisers Hyderabad,field,Chennai Super Kings,"Rajiv Gandhi International Stadium, Uppal"
Kings XI Punjab,Rajasthan Royals,Rajasthan Royals,field,Rajasthan Royals,"Punjab Cricket Association Stadium, Mohali"
Kolkata Knight Riders,Pune Warriors,Kolkata Knight Riders,bat,Kolkata Knight Riders,Subrata Roy Sahara Stadium
Royal Challengers Bangalore,Delhi Daredevils,Delhi Daredevils,field,Royal Challengers Bangalore,Feroz Shah Kotla
Pune Warriors,Mumbai Indians,Pune Warriors,bat,Mumbai Indians,Subrata Roy Sahara Stadium
Sunrisers Hyderabad,Kings XI Punjab,Kings XI Punjab,field,Sunrisers Hyderabad,"Punjab Cricket Association Stadium, Mohali"
Royal Challengers Bangalore,Kolkata Knight Riders,Kolkata Knight Riders,field,Kolkata Knight Riders,JSCA International Stadium Complex
Chennai Super Kings,Rajasthan Royals,Rajasthan Royals,field,Rajasthan Royals,Sawai Mansingh Stadium
Delhi Daredevils,Kings XI Punjab,Kings XI Punjab,field,Kings XI Punjab,Feroz Shah Kotla
Sunrisers Hyderabad,Mumbai Indians,Sunrisers Hyderabad,bat,Mumbai Indians,Wankhede Stadium
Pune Warriors,Kolkata Knight Riders,Kolkata Knight Riders,field,Pune Warriors,JSCA International Stadium Complex
Chennai Super Kings,Delhi Daredevils,Chennai Super Kings,bat,Chennai Super Kings,"MA Chidambaram Stadium, Chepauk"
Mumbai Indians,Rajasthan Royals,Rajasthan Royals,field,Mumbai Indians,Wankhede Stadium
Royal Challengers Bangalore,Kings XI Punjab,Kings XI Punjab,field,Kings XI Punjab,"Punjab Cricket Association Stadium, Mohali"
Sunrisers Hyderabad,Rajasthan Royals,Sunrisers Hyderabad,bat,Sunrisers Hyderabad,"Rajiv Gandhi International Stadium, Uppal"
Kings XI Punjab,Mumbai Indians,Mumbai Indians,field,Kings XI Punjab,Himachal Pradesh Cricket Association Stadium
Pune Warriors,Delhi Daredevils,Pune Warriors,bat,Pune Warriors,Subrata Roy Sahara Stadium
Royal Challengers Bangalore,Chennai Super Kings,Chennai Super Kings,field,Royal Challengers Bangalore,M Chinnaswamy Stadium
Kolkata Knight Riders,Sunrisers Hyderabad,Kolkata Knight Riders,bat,Sunrisers Hyderabad,"Rajiv Gandhi International Stadium, Uppal"
Chennai Super Kings,Mumbai Indians,Chennai Super Kings,bat,Chennai Super Kings,Feroz Shah Kotla
Sunrisers Hyderabad,Rajasthan Royals,Sunrisers Hyderabad,bat,Rajasthan Royals,Feroz Shah Kotla
Rajasthan Royals,Mumbai Indians,Rajasthan Royals,bat,Mumbai Indians,Eden Gardens
Mumbai Indians,Chennai Super Kings,Mumbai Indians,bat,Mumbai Indians,Eden Gardens
Kolkata Knight Riders,Mumbai Indians,Kolkata Knight Riders,bat,Kolkata Knight Riders,Sheikh Zayed Stadium
Delhi Daredevils,Royal Challengers Bangalore,Royal Challengers Bangalore,field,Royal Challengers Bangalore,Sharjah Cricket Stadium
Chennai Super Kings,Kings XI Punjab,Chennai Super Kings,bat,Kings XI Punjab,Sheikh Zayed Stadium
Sunrisers Hyderabad,Rajasthan Royals,Rajasthan Royals,field,Rajasthan Royals,Sheikh Zayed Stadium
Mumbai Indians,Royal Challengers Bangalore,Royal Challengers Bangalore,field,Royal Challengers Bangalore,Dubai International Cricket Stadium
Kolkata Knight Riders,Delhi Daredevils,Kolkata Knight Riders,bat,Delhi Daredevils,Dubai International Cricket Stadium
Rajasthan Royals,Kings XI Punjab,Kings XI Punjab,field,Kings XI Punjab,Sharjah Cricket Stadium
Chennai Super Kings,Delhi Daredevils,Chennai Super Kings,bat,Chennai Super Kings,Sheikh Zayed Stadium
Kings XI Punjab,Sunrisers Hyderabad,Sunrisers Hyderabad,field,Kings XI Punjab,Sharjah Cricket Stadium
Chennai Super Kings,Rajasthan Royals,Rajasthan Royals,field,Chennai Super Kings,Dubai International Cricket Stadium
Kolkata Knight Riders,Royal Challengers Bangalore,Royal Challengers Bangalore,field,Kolkata Knight Riders,Sharjah Cricket Stadium
Sunrisers Hyderabad,Delhi Daredevils,Sunrisers Hyderabad,bat,Sunrisers Hyderabad,Dubai International Cricket Stadium
Mumbai Indians,Chennai Super Kings,Mumbai Indians,bat,Chennai Super Kings,Dubai International Cricket Stadium
Royal Challengers Bangalore,Rajasthan Royals,Rajasthan Royals,field,Rajasthan Royals,Sheikh Zayed Stadium
Kings XI Punjab,Kolkata Knight Riders,Kolkata Knight Riders,field,Kings XI Punjab,Sheikh Zayed Stadium
Mumbai Indians,Delhi Daredevils,Mumbai Indians,bat,Delhi Daredevils,Sharjah Cricket Stadium
Sunrisers Hyderabad,Chennai Super Kings,Sunrisers Hyderabad,bat,Chennai Super Kings,Sharjah Cricket Stadium
Royal Challengers Bangalore,Kings XI Punjab,Kings XI Punjab,field,Kings XI Punjab,Dubai International Cricket Stadium
Rajasthan Royals,Kolkata Knight Riders,Rajasthan Royals,bat,Rajasthan Royals,Sheikh Zayed Stadium
Sunrisers Hyderabad,Mumbai Indians,Mumbai Indians,field,Sunrisers Hyderabad,Dubai International Cricket Stadium
Chennai Super Kings,Kolkata Knight Riders,Chennai Super Kings,bat,Chennai Super Kings,JSCA International Stadium Complex
Kings XI Punjab,Mumbai Indians,Kings XI Punjab,bat,Mumbai Indians,Wankhede Stadium
Delhi Daredevils,Rajasthan Royals,Rajasthan Royals,field,Rajasthan Royals,Feroz Shah Kotla
Sunrisers Hyderabad,Royal Challengers Bangalore,Royal Challengers Bangalore,field,Royal Challengers Bangalore,M Chinnaswamy Stadium
Rajasthan Royals,Kolkata Knight Riders,Kolkata Knight Riders,field,Rajasthan Royals,"Sardar Patel Stadium, Motera"
Delhi Daredevils,Chennai Super Kings,Chennai Super Kings,field,Chennai Super Kings,Feroz Shah Kotla
Mumbai Indians,Royal Challengers Bangalore,Royal Challengers Bangalore,field,Mumbai Indians,Wankhede Stadium
Delhi Daredevils,Kolkata Knight Riders,Delhi Daredevils,bat,Kolkata Knight Riders,Feroz Shah Kotla
Kings XI Punjab,Chennai Super Kings,Chennai Super Kings,field,Kings XI Punjab,Barabati Stadium
Sunrisers Hyderabad,Rajasthan Royals,Rajasthan Royals,field,Sunrisers Hyderabad,"Sardar Patel Stadium, Motera"
Kings XI Punjab,Royal Challengers Bangalore,Royal Challengers Bangalore,field,Kings XI Punjab,M Chinnaswamy Stadium
Delhi Daredevils,Sunrisers Hyderabad,Sunrisers Hyderabad,field,Sunrisers Hyderabad,Feroz Shah Kotla
Mumbai Indians,Chennai Super Kings,Chennai Super Kings,field,Chennai Super Kings,Wankhede Stadium
Kings XI Punjab,Kolkata Knight Riders,Kolkata Knight Riders,field,Kolkata Knight Riders,Barabati Stadium
Royal Challengers Bangalore,Rajasthan Royals,Royal Challengers Bangalore,bat,Rajasthan Royals,M Chinnaswamy Stadium
Sunrisers Hyderabad,Mumbai Indians,Sunrisers Hyderabad,bat,Mumbai Indians,"Rajiv Gandhi International Stadium, Uppal"
Rajasthan Royals,Chennai Super Kings,Rajasthan Royals,bat,Chennai Super Kings,JSCA International Stadium Complex
Royal Challengers Bangalore,Delhi Daredevils,Delhi Daredevils,field,Royal Challengers Bangalore,M Chinnaswamy Stadium
Sunrisers Hyderabad,Kings XI Punjab,Kings XI Punjab,field,Kings XI Punjab,"Rajiv Gandhi International Stadium, Uppal"
Mumbai Indians,Kolkata Knight Riders,Kolkata Knight Riders,field,Kolkata Knight Riders,Barabati Stadium
Rajasthan Royals,Delhi Daredevils,Delhi Daredevils,field,Rajasthan Royals,"Sardar Patel Stadium, Motera"
Chennai Super Kings,Royal Challengers Bangalore,Chennai Super Kings,bat,Royal Challengers Bangalore,JSCA International Stadium Complex
Sunrisers Hyderabad,Kolkata Knight Riders,Sunrisers Hyderabad,bat,Kolkata Knight Riders,"Rajiv Gandhi International Stadium, Uppal"
Mumbai Indians,Rajasthan Royals,Mumbai Indians,bat,Mumbai Indians,"Sardar Patel Stadium, Motera"
Delhi Daredevils,Kings XI Punjab,Kings XI Punjab,field,Kings XI Punjab,Feroz Shah Kotla
Royal Challengers Bangalore,Sunrisers Hyderabad,Royal Challengers Bangalore,bat,Sunrisers Hyderabad,"Rajiv Gandhi International Stadium, Uppal"
Chennai Super Kings,Kolkata Knight Riders,Kolkata Knight Riders,field,Kolkata Knight Riders,Eden Gardens
Kings XI Punjab,Mumbai Indians,Mumbai Indians,field,Mumbai Indians,"Punjab Cricket Association Stadium, Mohali"
Kolkata Knight Riders,Royal Challengers Bangalore,Royal Challengers Bangalore,field,Kolkata Knight Riders,Eden Gardens
Chennai Super Kings,Sunrisers Hyderabad,Sunrisers Hyderabad,field,Sunrisers Hyderabad,JSCA International Stadium Complex
Mumbai Indians,Delhi Daredevils,Delhi Daredevils,field,Mumbai Indians,Wankhede Stadium
Kings XI Punjab,Rajasthan Royals,Rajasthan Royals,field,Kings XI Punjab,"Punjab Cricket Association Stadium, Mohali"
Royal Challengers Bangalore,Chennai Super Kings,Chennai Super Kings,field,Chennai Super Kings,M Chinnaswamy Stadium
Sunrisers Hyderabad,Kolkata Knight Riders,Kolkata Knight Riders,field,Kolkata Knight Riders,Eden Gardens
Delhi Daredevils,Kings XI Punjab,Kings XI Punjab,field,Kings XI Punjab,"Punjab Cricket Association Stadium, Mohali"
Rajasthan Royals,Mumbai Indians,Mumbai Indians,field,Mumbai Indians,Wankhede Stadium
Kolkata Knight Riders,Kings XI Punjab,Kings XI Punjab,field,Kolkata Knight Riders,Eden Gardens
Mumbai Indians,Chennai Super Kings,Chennai Super Kings,field,Chennai Super Kings,Brabourne Stadium
Kings XI Punjab,Chennai Super Kings,Chennai Super Kings,field,Kings XI Punjab,Wankhede Stadium
Kings XI Punjab,Kolkata Knight Riders,Kolkata Knight Riders,field,Kolkata Knight Riders,M Chinnaswamy Stadium
Mumbai Indians,Kolkata Knight Riders,Kolkata Knight Riders,field,Kolkata Knight Riders,Eden Gardens
Chennai Super Kings,Delhi Daredevils,Delhi Daredevils,field,Chennai Super Kings,"MA Chidambaram Stadium, Chepauk"
Rajasthan Royals,Kings XI Punjab,Kings XI Punjab,field,Rajasthan Royals,Maharashtra Cricket Association Stadium
Chennai Super Kings,Sunrisers Hyderabad,Chennai Super Kings,bat,Chennai Super Kings,"MA Chidambaram Stadium, Chepauk"
Kolkata Knight Riders,Royal Challengers Bangalore,Royal Challengers Bangalore,field,Royal Challengers Bangalore,Eden Gardens
Delhi Daredevils,Rajasthan Royals,Rajasthan Royals,field,Rajasthan Royals,Feroz Shah Kotla
Kings XI Punjab,Mumbai Indians,Mumbai Indians,field,Kings XI Punjab,Wankhede Stadium
Royal Challengers Bangalore,Sunrisers Hyderabad,Sunrisers Hyderabad,field,Sunrisers Hyderabad,M Chinnaswamy Stadium
Mumbai Indians,Rajasthan Royals,Mumbai Indians,bat,Rajasthan Royals,"Sardar Patel Stadium, Motera"
Chennai Super Kings,Kolkata Knight Riders,Kolkata Knight Riders,field,Kolkata Knight Riders,Eden Gardens
Kings XI Punjab,Delhi Daredevils,Kings XI Punjab,bat,Delhi Daredevils,Maharashtra Cricket Association Stadium
Sunrisers Hyderabad,Rajasthan Royals,Rajasthan Royals,field,Rajasthan Royals,Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium
Mumbai Indians,Chennai Super Kings,Mumbai Indians,bat,Chennai Super Kings,Wankhede Stadium
Delhi Daredevils,Sunrisers Hyderabad,Delhi Daredevils,bat,Delhi Daredevils,Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium
Kings XI Punjab,Kolkata Knight Riders,Kolkata Knight Riders,field,Kolkata Knight Riders,Maharashtra Cricket Association Stadium
Chennai Super Kings,Rajasthan Royals,Chennai Super Kings,bat,Rajasthan Royals,"Sardar Patel Stadium, Motera"
Mumbai Indians,Royal Challengers Bangalore,Royal Challengers Bangalore,field,Mumbai Indians,M Chinnaswamy Stadium
Delhi Daredevils,Kolkata Knight Riders,Kolkata Knight Riders,field,Kolkata Knight Riders,Feroz Shah Kotla
Rajasthan Royals,Kings XI Punjab,Kings XI Punjab,field,Kings XI Punjab,"Sardar Patel Stadium, Motera"
Sunrisers Hyderabad,Kolkata Knight Riders,Kolkata Knight Riders,field,Sunrisers Hyderabad,Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium
Chennai Super Kings,Royal Challengers Bangalore,Royal Challengers Bangalore,field,Chennai Super Kings,M Chinnaswamy Stadium
Delhi Daredevils,Mumbai Indians,Mumbai Indians,field,Delhi Daredevils,Feroz Shah Kotla
Rajasthan Royals,Royal Challengers Bangalore,Royal Challengers Bangalore,field,Royal Challengers Bangalore,"Sardar Patel Stadium, Motera"
Mumbai Indians,Sunrisers Hyderabad,Mumbai Indians,bat,Mumbai Indians,Wankhede Stadium
Chennai Super Kings,Kings XI Punjab,Chennai Super Kings,bat,Chennai Super Kings,"MA Chidambaram Stadium, Chepauk"
Delhi Daredevils,Royal Challengers Bangalore,Royal Challengers Bangalore,field,Royal Challengers Bangalore,Feroz Shah Kotla
Sunrisers Hyderabad,Kings XI Punjab,Kings XI Punjab,field,Sunrisers Hyderabad,"Punjab Cricket Association Stadium, Mohali"
Kolkata Knight Riders,Delhi Daredevils,Kolkata Knight Riders,bat,Kolkata Knight Riders,Eden Gardens
Chennai Super Kings,Kolkata Knight Riders,Kolkata Knight Riders,field,Chennai Super Kings,"MA Chidambaram Stadium, Chepauk"
Kings XI Punjab,Delhi Daredevils,Delhi Daredevils,field,Delhi Daredevils,Feroz Shah Kotla
Mumbai Indians,Rajasthan Royals,Rajasthan Royals,field,Mumbai Indians,Wankhede Stadium
Kolkata Knight Riders,Royal Challengers Bangalore,Royal Challengers Bangalore,field,Royal Challengers Bangalore,M Chinnaswamy Stadium
Sunrisers Hyderabad,Chennai Super Kings,Chennai Super Kings,field,Sunrisers Hyderabad,"Rajiv Gandhi International Stadium, Uppal"
Mumbai Indians,Kings XI Punjab,Mumbai Indians,bat,Mumbai Indians,"Punjab Cricket Association Stadium, Mohali"
Rajasthan Royals,Delhi Daredevils,Delhi Daredevils,field,Rajasthan Royals,Brabourne Stadium
Chennai Super Kings,Royal Challengers Bangalore,Chennai Super Kings,bat,Chennai Super Kings,"MA Chidambaram Stadium, Chepauk"
Kolkata Knight Riders,Sunrisers Hyderabad,Sunrisers Hyderabad,field,Kolkata Knight Riders,Eden Gardens
Delhi Daredevils,Mumbai Indians,Delhi Daredevils,bat,Mumbai Indians,Wankhede Stadium
Royal Challengers Bangalore,Kings XI Punjab,Kings XI Punjab,field,Royal Challengers Bangalore,M Chinnaswamy Stadium
Sunrisers Hyderabad,Rajasthan Royals,Rajasthan Royals,field,Sunrisers Hyderabad,Brabourne Stadium
Chennai Super Kings,Mumbai Indians,Chennai Super Kings,bat,Mumbai Indians,"MA Chidambaram Stadium, Chepauk"
Kings XI Punjab,Kolkata Knight Riders,Kings XI Punjab,bat,Kolkata Knight Riders,Eden Gardens
Sunrisers Hyderabad,Delhi Daredevils,Sunrisers Hyderabad,bat,Sunrisers Hyderabad,Shaheed Veer Narayan Singh International Stadium
Royal Challengers Bangalore,Mumbai Indians,Royal Challengers Bangalore,bat,Royal Challengers Bangalore,Wankhede Stadium
Chennai Super Kings,Rajasthan Royals,Chennai Super Kings,bat,Chennai Super Kings,"MA Chidambaram Stadium, Chepauk"
Sunrisers Hyderabad,Kings XI Punjab,Sunrisers Hyderabad,bat,Sunrisers Hyderabad,"Rajiv Gandhi International Stadium, Uppal"
Chennai Super Kings,Delhi Daredevils,Chennai Super Kings,bat,Delhi Daredevils,Shaheed Veer Narayan Singh International Stadium
Kings XI Punjab,Royal Challengers Bangalore,Royal Challengers Bangalore,field,Kings XI Punjab,"Punjab Cricket Association Stadium, Mohali"
Mumbai Indians,Kolkata Knight Riders,Kolkata Knight Riders,field,Mumbai Indians,Wankhede Stadium
Sunrisers Hyderabad,Royal Challengers Bangalore,Sunrisers Hyderabad,bat,Royal Challengers Bangalore,"Rajiv Gandhi International Stadium, Uppal"
Kings XI Punjab,Chennai Super Kings,Kings XI Punjab,bat,Chennai Super Kings,"Punjab Cricket Association Stadium, Mohali"
Rajasthan Royals,Kolkata Knight Riders,Rajasthan Royals,bat,Rajasthan Royals,Brabourne Stadium
Sunrisers Hyderabad,Mumbai Indians,Sunrisers Hyderabad,bat,Mumbai Indians,"Rajiv Gandhi International Stadium, Uppal"
Mumbai Indians,Chennai Super Kings,Mumbai Indians,bat,Mumbai Indians,Wankhede Stadium
Royal Challengers Bangalore,Rajasthan Royals,Royal Challengers Bangalore,bat,Royal Challengers Bangalore,Maharashtra Cricket Association Stadium
Royal Challengers Bangalore,Chennai Super Kings,Chennai Super Kings,field,Chennai Super Kings,JSCA International Stadium Complex
Mumbai Indians,Chennai Super Kings,Chennai Super Kings,field,Mumbai Indians,Eden Gardens
Mumbai Indians,Rising Pune Supergiants,Mumbai Indians,bat,Rising Pune Supergiants,Wankhede Stadium
Delhi Daredevils,Kolkata Knight Riders,Kolkata Knight Riders,field,Kolkata Knight Riders,Eden Gardens
Kings XI Punjab,Gujarat Lions,Gujarat Lions,field,Gujarat Lions,"Punjab Cricket Association IS Bindra Stadium, Mohali"
Royal Challengers Bangalore,Sunrisers Hyderabad,Sunrisers Hyderabad,field,Royal Challengers Bangalore,M Chinnaswamy Stadium
Kolkata Knight Riders,Mumbai Indians,Mumbai Indians,field,Mumbai Indians,Eden Gardens
Rising Pune Supergiants,Gujarat Lions,Rising Pune Supergiants,bat,Gujarat Lions,Saurashtra Cricket Association Stadium
Kings XI Punjab,Delhi Daredevils,Delhi Daredevils,field,Delhi Daredevils,Feroz Shah Kotla
Sunrisers Hyderabad,Kolkata Knight Riders,Sunrisers Hyderabad,bat,Kolkata Knight Riders,"Rajiv Gandhi International Stadium, Uppal"
Mumbai Indians,Gujarat Lions,Gujarat Lions,field,Gujarat Lions,Wankhede Stadium
Rising Pune Supergiants,Kings XI Punjab,Rising Pune Supergiants,bat,Kings XI Punjab,"Punjab Cricket Association IS Bindra Stadium, Mohali"
Royal Challengers Bangalore,Delhi Daredevils,Delhi Daredevils,field,Delhi Daredevils,M Chinnaswamy Stadium
Mumbai Indians,Sunrisers Hyderabad,Sunrisers Hyderabad,field,Sunrisers Hyderabad,"Rajiv Gandhi International Stadium, Uppal"
Kings XI Punjab,Kolkata Knight Riders,Kolkata Knight Riders,field,Kolkata Knight Riders,"Punjab Cricket Association IS Bindra Stadium, Mohali"
Royal Challengers Bangalore,Mumbai Indians,Mumbai Indians,field,Mumbai Indians,Wankhede Stadium
Gujarat Lions,Sunrisers Hyderabad,Sunrisers Hyderabad,field,Sunrisers Hyderabad,Saurashtra Cricket Association Stadium
Royal Challengers Bangalore,Rising Pune Supergiants,Rising Pune Supergiants,field,Royal Challengers Bangalore,Maharashtra Cricket Association Stadium
Delhi Daredevils,Mumbai Indians,Mumbai Indians,field,Delhi Daredevils,Feroz Shah Kotla
Kings XI Punjab,Sunrisers Hyderabad,Sunrisers Hyderabad,field,Sunrisers Hyderabad,"Rajiv Gandhi International Stadium, Uppal"
Royal Challengers Bangalore,Gujarat Lions,Royal Challengers Bangalore,bat,Gujarat Lions,Saurashtra Cricket Association Stadium
Rising Pune Supergiants,Kolkata Knight Riders,Kolkata Knight Riders,field,Kolkata Knight Riders,Maharashtra Cricket Association Stadium
Mumbai Indians,Kings XI Punjab,Kings XI Punjab,field,Mumbai Indians,"Punjab Cricket Association IS Bindra Stadium, Mohali"
Sunrisers Hyderabad,Rising Pune Supergiants,Rising Pune Supergiants,field,Rising Pune Supergiants,"Rajiv Gandhi International Stadium, Uppal"
Gujarat Lions,Delhi Daredevils,Delhi Daredevils,field,Gujarat Lions,Feroz Shah Kotla
Kolkata Knight Riders,Mumbai Indians,Mumbai Indians,field,Mumbai Indians,Wankhede Stadium
Rising Pune Supergiants,Gujarat Lions,Gujarat Lions,field,Gujarat Lions,Maharashtra Cricket Association Stadium
Delhi Daredevils,Kolkata Knight Riders,Kolkata Knight Riders,field,Delhi Daredevils,Feroz Shah Kotla
Sunrisers Hyderabad,Royal Challengers Bangalore,Royal Challengers Bangalore,field,Sunrisers Hyderabad,"Rajiv Gandhi International Stadium, Uppal"
Kings XI Punjab,Gujarat Lions,Gujarat Lions,field,Kings XI Punjab,Saurashtra Cricket Association Stadium
Rising Pune Supergiants,Mumbai Indians,Mumbai Indians,field,Mumbai Indians,Maharashtra Cricket Association Stadium
Royal Challengers Bangalore,Kolkata Knight Riders,Kolkata Knight Riders,field,Kolkata Knight Riders,M Chinnaswamy Stadium
Gujarat Lions,Delhi Daredevils,Delhi Daredevils,field,Delhi Daredevils,Saurashtra Cricket Association Stadium
Kolkata Knight Riders,Kings XI Punjab,Kings XI Punjab,field,Kolkata Knight Riders,Eden Gardens
Delhi Daredevils,Rising Pune Supergiants,Rising Pune Supergiants,field,Rising Pune Supergiants,Feroz Shah Kotla
Gujarat Lions,Sunrisers Hyderabad,Sunrisers Hyderabad,field,Sunrisers Hyderabad,"Rajiv Gandhi International Stadium, Uppal"
Rising Pune Supergiants,Royal Challengers Bangalore,Royal Challengers Bangalore,field,Royal Challengers Bangalore,M Chinnaswamy Stadium
Kings XI Punjab,Delhi Daredevils,Delhi Daredevils,field,Kings XI Punjab,"Punjab Cricket Association IS Bindra Stadium, Mohali"
Sunrisers Hyderabad,Mumbai Indians,Mumbai Indians,field,Sunrisers Hyderabad,Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium
Kolkata Knight Riders,Gujarat Lions,Gujarat Lions,field,Gujarat Lions,Eden Gardens
Royal Challengers Bangalore,Kings XI Punjab,Kings XI Punjab,field,Royal Challengers Bangalore,"Punjab Cricket Association IS Bindra Stadium, Mohali"
Sunrisers Hyderabad,Rising Pune Supergiants,Sunrisers Hyderabad,bat,Sunrisers Hyderabad,Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium
Royal Challengers Bangalore,Mumbai Indians,Mumbai Indians,field,Mumbai Indians,M Chinnaswamy Stadium
Sunrisers Hyderabad,Delhi Daredevils,Delhi Daredevils,field,Delhi Daredevils,"Rajiv Gandhi International Stadium, Uppal"
Mumbai Indians,Kings XI Punjab,Mumbai Indians,bat,Kings XI Punjab,Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium
Royal Challengers Bangalore,Gujarat Lions,Gujarat Lions,field,Royal Challengers Bangalore,M Chinnaswamy Stadium
Rising Pune Supergiants,Kolkata Knight Riders,Rising Pune Supergiants,bat,Kolkata Knight Riders,Eden Gardens
Kings XI Punjab,Sunrisers Hyderabad,Kings XI Punjab,bat,Sunrisers Hyderabad,"Punjab Cricket Association IS Bindra Stadium, Mohali"
Mumbai Indians,Delhi Daredevils,Delhi Daredevils,field,Mumbai Indians,Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium
Kolkata Knight Riders,Royal Challengers Bangalore,Royal Challengers Bangalore,field,Royal Challengers Bangalore,Eden Gardens
Delhi Daredevils,Rising Pune Supergiants,Rising Pune Supergiants,field,Rising Pune Supergiants,Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium
Royal Challengers Bangalore,Kings XI Punjab,Kings XI Punjab,field,Royal Challengers Bangalore,M Chinnaswamy Stadium
Kolkata Knight Riders,Gujarat Lions,Gujarat Lions,field,Gujarat Lions,Green Park
Sunrisers Hyderabad,Delhi Daredevils,Delhi Daredevils,field,Delhi Daredevils,Shaheed Veer Narayan Singh International Stadium
Kings XI Punjab,Rising Pune Supergiants,Kings XI Punjab,bat,Rising Pune Supergiants,Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium
Mumbai Indians,Gujarat Lions,Gujarat Lions,field,Gujarat Lions,Green Park
Kolkata Knight Riders,Sunrisers Hyderabad,Sunrisers Hyderabad,field,Kolkata Knight Riders,Eden Gardens
Delhi Daredevils,Royal Challengers Bangalore,Royal Challengers Bangalore,field,Royal Challengers Bangalore,Shaheed Veer Narayan Singh International Stadium
Gujarat Lions,Royal Challengers Bangalore,Royal Challengers Bangalore,field,Royal Challengers Bangalore,M Chinnaswamy Stadium
Sunrisers Hyderabad,Kolkata Knight Riders,Kolkata Knight Riders,field,Sunrisers Hyderabad,Feroz Shah Kotla
Gujarat Lions,Sunrisers Hyderabad,Sunrisers Hyderabad,field,Sunrisers Hyderabad,Feroz Shah Kotla
Sunrisers Hyderabad,Royal Challengers Bangalore,Sunrisers Hyderabad,bat,Sunrisers Hyderabad,M Chinnaswamy Stadium
